model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,adr_context,0.8571,7,
ci:deepseek-v4-flash,skill@1.0,adr_context,1,7,
ci:deepseek-v4-flash,no-skill,control_quality,0.668,5,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.868,5,
ci:deepseek-v4-flash,no-skill,latency max (s),79.2,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),24,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),4.2,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),15.3,0,
ci:deepseek-v4-flash,no-skill,latency_s,11.24,12,
ci:deepseek-v4-flash,skill@1.0,latency_s,15.73,12,
ci:deepseek-v4-flash,no-skill,semantic_quality,0.8,7,
ci:deepseek-v4-flash,skill@1.0,semantic_quality,0.9429,7,
ci:deepseek-v4-flash,no-skill,tokens p50,421,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,5004,0,
ci:deepseek-v4-flash,no-skill,tokens total,5210,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,67499,0,
