model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,capabilities_match_brief,0,6,
ci:deepseek-v4-flash,skill@1.0.1,capabilities_match_brief,0.8333,6,
ci:deepseek-v4-flash,no-skill,contract_shape,0,6,
ci:deepseek-v4-flash,skill@1.0.1,contract_shape,0.1667,6,
ci:deepseek-v4-flash,no-skill,latency max (s),35,0,
ci:deepseek-v4-flash,skill@1.0.1,latency max (s),57.2,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),14.7,0,
ci:deepseek-v4-flash,skill@1.0.1,latency p50 (s),28.6,0,
ci:deepseek-v4-flash,no-skill,latency_s,15.89,12,
ci:deepseek-v4-flash,skill@1.0.1,latency_s,30.91,12,
ci:deepseek-v4-flash,no-skill,no_fabrication,0,6,
ci:deepseek-v4-flash,skill@1.0.1,no_fabrication,0.1667,6,
ci:deepseek-v4-flash,no-skill,security_scheme_matches_brief,0,6,
ci:deepseek-v4-flash,skill@1.0.1,security_scheme_matches_brief,1,6,
ci:deepseek-v4-flash,no-skill,tokens p50,819,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens p50,11106,0,
ci:deepseek-v4-flash,no-skill,tokens total,10461,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens total,120091,0,
