model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,cited_facts_exist,0.4767,12,
ci:deepseek-v4-flash,skill@1.0,cited_facts_exist,0.4167,12,
ci:deepseek-v4-flash,no-skill,discoverability_filter,0.7558,12,
ci:deepseek-v4-flash,skill@1.0,discoverability_filter,0.8083,12,
ci:deepseek-v4-flash,no-skill,latency max (s),51.1,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),65.9,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),22.7,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),13.8,0,
ci:deepseek-v4-flash,no-skill,latency_s,24.21,12,
ci:deepseek-v4-flash,skill@1.0,latency_s,17.74,12,
ci:deepseek-v4-flash,no-skill,nested_not_redundant,1,6,
ci:deepseek-v4-flash,skill@1.0,nested_not_redundant,1,6,
ci:deepseek-v4-flash,no-skill,tokens p50,6077,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,9469,0,
ci:deepseek-v4-flash,no-skill,tokens total,216255,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,274221,0,
