model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,code_block,1,14,
ci:deepseek-v4-flash,skill@2.0,code_block,1,14,
ci:deepseek-v4-flash,skill@2.0.1,code_block,0.9286,14,
ci:deepseek-v4-flash,no-skill,code_preserved,1,14,
ci:deepseek-v4-flash,skill@2.0,code_preserved,0.9286,14,
ci:deepseek-v4-flash,skill@2.0.1,code_preserved,1,14,
ci:deepseek-v4-flash,no-skill,doc_placement_floor,0.3333,3,
ci:deepseek-v4-flash,skill@2.0,doc_placement_floor,1,3,
ci:deepseek-v4-flash,skill@2.0.1,doc_placement_floor,0.6667,3,
ci:deepseek-v4-flash,no-skill,fact_transfer,0.6778,9,
ci:deepseek-v4-flash,skill@2.0,fact_transfer,0.9389,9,
ci:deepseek-v4-flash,skill@2.0.1,fact_transfer,0.9417,9,
ci:deepseek-v4-flash,no-skill,latency,1,14,
ci:deepseek-v4-flash,skill@2.0,latency,1,14,
ci:deepseek-v4-flash,skill@2.0.1,latency,1,14,
ci:deepseek-v4-flash,no-skill,latency max (s),17.3,0,
ci:deepseek-v4-flash,skill@2.0.1,latency max (s),15.6,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),8.2,0,
ci:deepseek-v4-flash,skill@2.0.1,latency p50 (s),10.6,0,
ci:deepseek-v4-flash,no-skill,latency_s,8.44,14,
ci:deepseek-v4-flash,skill@2.0.1,latency_s,10.94,14,
ci:deepseek-v4-flash,no-skill,not_narration,0.6173,9,
ci:deepseek-v4-flash,skill@2.0,not_narration,0.3833,9,
ci:deepseek-v4-flash,skill@2.0.1,not_narration,0.4117,9,
ci:deepseek-v4-flash,no-skill,restraint,0.103,5,
ci:deepseek-v4-flash,skill@2.0,restraint,0.384,5,
ci:deepseek-v4-flash,skill@2.0.1,restraint,0.25,5,
ci:deepseek-v4-flash,no-skill,tokens p50,1001,0,
ci:deepseek-v4-flash,skill@2.0,tokens p50,2594,0,
ci:deepseek-v4-flash,skill@2.0.1,tokens p50,2700,0,
ci:deepseek-v4-flash,no-skill,tokens total,14115,0,
ci:deepseek-v4-flash,skill@2.0,tokens total,36216,0,
ci:deepseek-v4-flash,skill@2.0.1,tokens total,41881,0,
