model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,conventional_header,0.6667,15,
ci:deepseek-v4-flash,skill@1.0,conventional_header,0.8667,15,
ci:deepseek-v4-flash,no-skill,latency max (s),2.6,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),9.9,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),1.4,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),1.5,0,
ci:deepseek-v4-flash,no-skill,latency_overhead,1,15,
ci:deepseek-v4-flash,skill@1.0,latency_overhead,1,15,
ci:deepseek-v4-flash,no-skill,latency_s,1.36,15,
ci:deepseek-v4-flash,skill@1.0,latency_s,2.03,15,
ci:deepseek-v4-flash,no-skill,marks_breaking,0,4,
ci:deepseek-v4-flash,skill@1.0,marks_breaking,0.5,4,
ci:deepseek-v4-flash,no-skill,splits_mixed_change,0.25,4,
ci:deepseek-v4-flash,skill@1.0,splits_mixed_change,1,4,
ci:deepseek-v4-flash,no-skill,tokens p50,1023,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,1722,0,
ci:deepseek-v4-flash,no-skill,tokens total,17852,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,29636,0,
ci:deepseek-v4-flash,no-skill,why_quality,0.6933,15,
ci:deepseek-v4-flash,skill@1.0,why_quality,0.6667,15,
