model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,finds_the_fix,0.875,20,
ci:deepseek-v4-flash,skill@1.0.2,finds_the_fix,0.9,20,
ci:deepseek-v4-flash,no-skill,no_invented_file_refs,1,20,
ci:deepseek-v4-flash,skill@1.0.2,no_invented_file_refs,0.95,20,
ci:deepseek-v4-flash,no-skill,proportionate_fix,0.775,20,
ci:deepseek-v4-flash,skill@1.0.2,proportionate_fix,0.825,20,
ci:deepseek-v4-flash,no-skill,regression_proof,0.45,20,
ci:deepseek-v4-flash,skill@1.0.2,regression_proof,0.7,20,
ci:deepseek-v4-flash,no-skill,root_cause_depth,0.8,20,
ci:deepseek-v4-flash,skill@1.0.2,root_cause_depth,0.77,20,
ci:deepseek-v4-flash,no-skill,tokens p50,92750,0,
ci:deepseek-v4-flash,skill@1.0.2,tokens p50,736508,0,
ci:deepseek-v4-flash,no-skill,tokens total,3157907,0,
ci:deepseek-v4-flash,skill@1.0.2,tokens total,13651782,0,
