model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,heading_hierarchy,0.9167,12,
ci:deepseek-v4-flash,skill@1.0,heading_hierarchy,1,12,
ci:deepseek-v4-flash,no-skill,latency max (s),3.3,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),1.6,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),1,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),0.9,0,
ci:deepseek-v4-flash,no-skill,latency_s,1.09,12,
ci:deepseek-v4-flash,skill@1.0,latency_s,0.88,12,
ci:deepseek-v4-flash,no-skill,preserved,0.1667,12,
ci:deepseek-v4-flash,skill@1.0,preserved,0.9091,12,
ci:deepseek-v4-flash,no-skill,readability,0.5833,12,
ci:deepseek-v4-flash,skill@1.0,readability,0.9,12,
ci:deepseek-v4-flash,no-skill,tokens p50,401,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,1030,0,
ci:deepseek-v4-flash,no-skill,tokens total,5363,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,12842,0,
ci:deepseek-v4-flash,no-skill,unchanged_when_clean,0.1852,3,
ci:deepseek-v4-flash,skill@1.0,unchanged_when_clean,0.7333,3,
