model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,diagram_choice,0.7419,31,
ci:deepseek-v4-flash,skill@1.0,diagram_choice,0.871,31,
ci:deepseek-v4-flash,no-skill,latency max (s),39.4,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),59.1,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),3.8,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),13.9,0,
ci:deepseek-v4-flash,no-skill,latency_s,10.18,31,
ci:deepseek-v4-flash,skill@1.0,latency_s,18.60,31,
ci:deepseek-v4-flash,no-skill,mermaid_renders,0.9355,31,
ci:deepseek-v4-flash,skill@1.0,mermaid_renders,0.9032,31,
ci:deepseek-v4-flash,no-skill,semantic_quality,0.8667,31,
ci:deepseek-v4-flash,skill@1.0,semantic_quality,0.9,31,
ci:deepseek-v4-flash,no-skill,semantic_quality!errors,1,0,
ci:deepseek-v4-flash,skill@1.0,semantic_quality!errors,1,0,
ci:deepseek-v4-flash,no-skill,tokens p50,242,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,18526,0,
ci:deepseek-v4-flash,no-skill,tokens total,8071,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,462196,0,
