model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,compatibility,0.6,5,
ci:deepseek-v4-flash,skill@1.0,compatibility,0.6,5,
ci:deepseek-v4-flash,no-skill,contract_requirements,0.6667,9,
ci:deepseek-v4-flash,skill@1.0,contract_requirements,0.8889,9,
ci:deepseek-v4-flash,no-skill,contract_shape,0.6667,12,
ci:deepseek-v4-flash,skill@1.0,contract_shape,0.9167,12,
ci:deepseek-v4-flash,no-skill,contract_valid,0.75,12,
ci:deepseek-v4-flash,skill@1.0,contract_valid,0.8333,12,
ci:deepseek-v4-flash,no-skill,control_quality,0.4,5,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.6,5,
ci:deepseek-v4-flash,no-skill,design_quality,0.42,11,
ci:deepseek-v4-flash,skill@1.0,design_quality,0.5111,11,
ci:deepseek-v4-flash,no-skill,design_quality!errors,1,0,
ci:deepseek-v4-flash,skill@1.0,design_quality!errors,2,0,
ci:deepseek-v4-flash,no-skill,latency max (s),39.1,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),66.1,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),9.1,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),40.8,0,
ci:deepseek-v4-flash,no-skill,latency_s,13.65,16,
ci:deepseek-v4-flash,skill@1.0,latency_s,37.36,16,
ci:deepseek-v4-flash,no-skill,resource_modeling,0.75,12,
ci:deepseek-v4-flash,skill@1.0,resource_modeling,0.9167,12,
ci:deepseek-v4-flash,no-skill,tokens p50,684,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,18412,0,
ci:deepseek-v4-flash,no-skill,tokens total,12956,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,292995,0,
