model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,latency,1,16,
ci:deepseek-v4-flash,skill@1.2,latency,1,16,
ci:deepseek-v4-flash,no-skill,latency max (s),27.7,0,
ci:deepseek-v4-flash,skill@1.2,latency max (s),178,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),13.3,0,
ci:deepseek-v4-flash,skill@1.2,latency p50 (s),37.7,0,
ci:deepseek-v4-flash,no-skill,latency_s,14.66,16,
ci:deepseek-v4-flash,skill@1.2,latency_s,54.01,16,
ci:deepseek-v4-flash,no-skill,no_invented_citations,1,16,
ci:deepseek-v4-flash,skill@1.2,no_invented_citations,1,16,
ci:deepseek-v4-flash,no-skill,review_quality,0.4375,16,
ci:deepseek-v4-flash,skill@1.2,review_quality,0.6094,16,
ci:deepseek-v4-flash,no-skill,tokens p50,2462,0,
ci:deepseek-v4-flash,skill@1.2,tokens p50,113397,0,
ci:deepseek-v4-flash,no-skill,tokens total,80792,0,
ci:deepseek-v4-flash,skill@1.2,tokens total,2038421,0,
